iter	Passed	Remaining
0	1	192
1	3	180
2	5	166
3	6	155
4	7	151
5	9	149
6	11	146
7	12	145
8	14	145
9	15	143
10	17	141
11	19	139
12	20	137
13	21	135
14	23	133
15	25	131
16	26	130
17	28	128
18	29	126
19	31	124
20	32	122
21	33	120
22	35	118
23	36	116
24	38	114
25	39	112
26	41	110
27	42	109
28	44	107
29	45	106
30	47	104
31	48	103
32	49	101
33	51	99
34	52	98
35	54	96
36	56	95
37	57	94
38	59	92
39	60	91
40	62	89
41	62	86
42	64	85
43	65	83
44	67	82
45	68	80
46	70	79
47	71	77
48	73	76
49	74	74
50	76	73
51	77	71
52	79	70
53	80	68
54	81	66
55	83	65
56	84	64
57	86	62
58	87	61
59	89	59
60	90	58
61	92	56
62	93	55
63	95	53
64	97	52
65	98	50
66	100	49
67	101	47
68	103	46
69	104	44
70	106	43
71	108	42
72	109	40
73	111	39
74	112	37
75	113	35
76	115	34
77	116	32
78	118	31
79	119	29
80	121	28
81	122	26
82	124	25
83	126	24
84	127	22
85	129	21
86	131	19
87	132	18
88	133	16
89	135	15
90	137	13
91	138	12
92	140	10
93	141	9
94	143	7
95	144	6
96	146	4
97	147	3
98	149	1
99	150	0
