iter	Passed	Remaining
0	164	164084
1	166	83137
2	168	56009
3	170	42385
4	172	34231
5	173	28786
6	175	24880
7	177	21992
8	179	19794
9	181	17983
10	183	16501
11	185	15279
12	187	14225
13	189	13316
14	191	12550
15	193	11881
16	194	11266
17	196	10719
18	198	10225
19	199	9787
20	201	9391
21	203	9026
22	204	8703
23	206	8415
24	208	8140
25	210	7880
26	211	7639
27	213	7414
28	215	7208
29	217	7038
30	220	6882
31	222	6722
32	223	6558
33	225	6405
34	227	6262
35	228	6127
36	230	5999
37	232	5880
38	234	5788
39	236	5685
40	238	5582
41	240	5489
42	242	5389
43	243	5295
44	245	5204
45	246	5119
46	248	5042
47	250	4962
48	251	4886
49	253	4812
50	254	4740
51	256	4671
52	257	4606
53	259	4542
54	260	4480
55	262	4430
56	264	4375
57	265	4319
58	267	4265
59	268	4213
60	270	4162
61	272	4115
62	273	4069
63	275	4023
64	277	3986
65	278	3944
66	280	3901
67	281	3860
68	283	3821
69	284	3781
70	286	3745
71	288	3715
72	289	3680
73	291	3649
74	293	3623
75	295	3591
76	296	3557
77	298	3525
78	299	3496
79	301	3465
80	302	3435
81	304	3406
82	305	3369
83	306	3347
84	308	3320
85	309	3293
86	311	3267
87	312	3241
88	314	3218
89	315	3193
90	317	3169
91	318	3145
92	320	3123
93	321	3103
94	323	3080
95	324	3058
96	326	3035
97	327	3014
98	328	2994
99	330	2975
100	332	2956
101	333	2937
102	335	2920
103	337	2906
104	338	2888
105	340	2870
106	342	2854
107	343	2837
108	345	2820
109	346	2804
110	348	2788
111	349	2773
112	351	2758
113	353	2743
114	354	2728
115	355	2712
116	357	2695
117	358	2680
118	360	2665
119	361	2650
120	362	2635
121	364	2621
122	365	2607
123	367	2594
124	368	2581
125	370	2572
126	372	2559
127	373	2547
128	375	2535
129	377	2523
130	379	2514
131	380	2503
132	382	2494
133	384	2484
134	386	2474
135	387	2463
136	389	2452
137	390	2441
138	392	2431
139	394	2423
140	396	2415
141	397	2402
142	399	2393
143	401	2383
144	402	2373
145	404	2364
146	405	2354
147	407	2346
148	409	2338
149	410	2328
150	412	2318
151	414	2309
152	415	2300
153	416	2289
154	418	2279
155	419	2270
156	421	2261
157	422	2253
158	424	2245
159	426	2236
160	427	2225
161	428	2216
162	430	2208
163	431	2198
164	432	2189
165	434	2181
166	435	2172
167	437	2165
168	438	2157
169	440	2148
170	441	2140
